"GEO_ID","NAME","B02001_001E","B02001_001M","B02001_002E","B02001_002M","B02001_003E","B02001_003M","B02001_004E","B02001_004M","B02001_005E","B02001_005M","B02001_006E","B02001_006M","B02001_007E","B02001_007M","B02001_008E","B02001_008M","B02001_009E","B02001_009M","B02001_010E","B02001_010M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total","Estimate!!Total!!White alone","Margin of Error!!Total!!White alone","Estimate!!Total!!Black or African American alone","Margin of Error!!Total!!Black or African American alone","Estimate!!Total!!American Indian and Alaska Native alone","Margin of Error!!Total!!American Indian and Alaska Native alone","Estimate!!Total!!Asian alone","Margin of Error!!Total!!Asian alone","Estimate!!Total!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total!!Some other race alone","Margin of Error!!Total!!Some other race alone","Estimate!!Total!!Two or more races","Margin of Error!!Total!!Two or more races","Estimate!!Total!!Two or more races!!Two races including Some other race","Margin of Error!!Total!!Two or more races!!Two races including Some other race","Estimate!!Total!!Two or more races!!Two races excluding Some other race, and three or more races","Margin of Error!!Total!!Two or more races!!Two races excluding Some other race, and three or more races"
"1400000US11001005900","Census Tract 59, District of Columbia, District of Columbia","2499","246","1437","205","563","132","0","12","327","137","0","12","78","73","94","56","0","12","94","56"
"1400000US11001007703","Census Tract 77.03, District of Columbia, District of Columbia","6682","934","0","17","6306","814","18","32","25","40","0","17","319","481","14","24","0","17","14","24"
"1400000US11001007707","Census Tract 77.07, District of Columbia, District of Columbia","4787","533","50","57","4669","537","0","12","0","12","0","12","7","12","61","51","0","12","61","51"
"1400000US11001008100","Census Tract 81, District of Columbia, District of Columbia","3450","223","2752","238","389","140","6","10","113","100","0","12","95","66","95","46","0","12","95","46"
"1400000US11001008200","Census Tract 82, District of Columbia, District of Columbia","3185","338","2639","339","254","124","0","12","116","63","0","12","12","16","164","122","0","12","164","122"
"1400000US11001008410","Census Tract 84.10, District of Columbia, District of Columbia","1508","183","827","123","538","161","5","8","57","35","0","12","8","13","73","53","8","12","65","44"
"1400000US11001008804","Census Tract 88.04, District of Columbia, District of Columbia","2849","368","420","206","2122","396","18","28","186","179","0","12","31","50","72","49","0","12","72","49"
"1400000US11001009201","Census Tract 92.01, District of Columbia, District of Columbia","3073","426","1442","304","1271","262","5","8","92","44","0","12","94","63","169","71","9","14","160","71"
"1400000US11001009302","Census Tract 93.02, District of Columbia, District of Columbia","1427","197","508","180","839","123","0","12","0","12","10","15","46","50","24","19","0","12","24","19"
"1400000US11001009507","Census Tract 95.07, District of Columbia, District of Columbia","2005","306","273","314","1611","292","0","12","0","12","0","12","95","148","26","32","0","12","26","32"
"1400000US11001009901","Census Tract 99.01, District of Columbia, District of Columbia","2711","393","129","67","2273","465","0","12","207","204","0","12","6","13","96","82","17","29","79","64"
"1400000US11001009903","Census Tract 99.03, District of Columbia, District of Columbia","2056","269","104","73","1902","266","0","12","0","12","0","12","12","18","38","45","0","12","38","45"
"1400000US11001009905","Census Tract 99.05, District of Columbia, District of Columbia","2926","421","15","17","2835","416","0","12","0","12","0","12","16","30","60","70","0","12","60","70"
"1400000US11001000202","Census Tract 2.02, District of Columbia, District of Columbia","4541","688","3623","486","296","266","41","95","287","171","14","22","118","132","162","111","0","12","162","111"
"1400000US11001000400","Census Tract 4, District of Columbia, District of Columbia","1428","133","1238","122","43","33","0","12","89","63","0","12","21","28","37","34","0","12","37","34"
"1400000US11001000901","Census Tract 9.01, District of Columbia, District of Columbia","7448","417","5981","431","553","210","20","35","527","175","0","17","152","81","215","99","35","33","180","98"
"1400000US11001000902","Census Tract 9.02, District of Columbia, District of Columbia","2564","199","2235","228","104","68","0","12","57","39","0","12","5","7","163","88","0","12","163","88"
"1400000US11001001002","Census Tract 10.02, District of Columbia, District of Columbia","3519","461","2707","422","194","112","0","12","256","106","0","12","41","38","321","217","101","118","220","125"
"1400000US11001001200","Census Tract 12, District of Columbia, District of Columbia","5247","487","4244","355","338","212","0","17","345","282","0","17","18","29","302","117","0","17","302","117"
"1400000US11001002001","Census Tract 20.01, District of Columbia, District of Columbia","3502","404","756","209","1542","312","66","97","90","86","0","12","953","354","95","53","8","13","87","52"
"1400000US11001002201","Census Tract 22.01, District of Columbia, District of Columbia","3169","423","818","261","1723","378","36","37","83","70","0","12","381","281","128","95","49","52","79","86"
"1400000US11001002502","Census Tract 25.02, District of Columbia, District of Columbia","6451","529","2019","631","2466","457","0","17","218","101","0","17","1428","430","320","184","10","17","310","184"
"1400000US11001002900","Census Tract 29, District of Columbia, District of Columbia","4424","384","1955","309","1106","320","0","12","157","96","0","12","944","336","262","152","38","53","224","136"
"1400000US11001003100","Census Tract 31, District of Columbia, District of Columbia","3409","342","1337","244","1041","176","34","45","231","149","0","12","670","338","96","79","12","25","84","74"
"1400000US11001003200","Census Tract 32, District of Columbia, District of Columbia","5486","560","1670","362","2727","544","0","17","277","158","0","17","744","443","68","67","31","52","37","35"
"1400000US11001003302","Census Tract 33.02, District of Columbia, District of Columbia","2308","227","1221","159","860","200","4","7","122","44","0","12","23","36","78","45","0","12","78","45"
"1400000US11001007100","Census Tract 71, District of Columbia, District of Columbia","3279","382","1065","250","1982","450","0","12","139","76","0","12","19","30","74","52","0","12","74","52"
"1400000US11001004300","Census Tract 43, District of Columbia, District of Columbia","4076","305","2787","321","802","212","23","36","151","79","0","12","199","119","114","81","0","12","114","81"
"1400000US11001004901","Census Tract 49.01, District of Columbia, District of Columbia","3115","346","1693","254","1048","255","0","12","121","136","0","12","163","212","90","63","37","53","53","38"
"1400000US11001006500","Census Tract 65, District of Columbia, District of Columbia","2760","331","2332","303","306","124","0","12","5","9","0","12","39","59","78","69","0","12","78","69"
"1400000US11001007708","Census Tract 77.08, District of Columbia, District of Columbia","3055","377","0","12","3055","377","0","12","0","12","0","12","0","12","0","12","0","12","0","12"
"1400000US11001007807","Census Tract 78.07, District of Columbia, District of Columbia","2297","268","15","20","2155","268","0","12","7","10","0","12","50","76","70","78","0","12","70","78"
"1400000US11001008402","Census Tract 84.02, District of Columbia, District of Columbia","2240","236","1513","238","584","101","0","12","25","22","0","12","6","11","112","64","0","12","112","64"
"1400000US11001008802","Census Tract 88.02, District of Columbia, District of Columbia","4463","472","1224","297","3067","426","13","21","77","66","0","12","32","49","50","41","0","12","50","41"
"1400000US11001009603","Census Tract 96.03, District of Columbia, District of Columbia","4040","554","10","23","3953","573","0","12","16","28","0","12","39","52","22","23","0","12","22","23"
"1400000US11001009801","Census Tract 98.01, District of Columbia, District of Columbia","2275","305","49","42","2140","302","14","17","0","12","0","12","34","53","38","56","0","12","38","56"
"1400000US11001009802","Census Tract 98.02, District of Columbia, District of Columbia","2010","242","57","71","1947","237","0","12","0","12","0","12","6","9","0","12","0","12","0","12"
"1400000US11001009804","Census Tract 98.04, District of Columbia, District of Columbia","2993","329","34","41","2661","290","0","12","7","11","0","12","187","197","104","132","0","12","104","132"
"1400000US11001001401","Census Tract 14.01, District of Columbia, District of Columbia","3548","249","2711","262","282","112","19","21","402","253","0","12","44","51","90","70","0","12","90","70"
"1400000US11001007409","Census Tract 74.09, District of Columbia, District of Columbia","4392","550","36","41","3922","503","0","12","104","101","0","12","184","286","146","174","0","12","146","174"
"1400000US11001006802","Census Tract 68.02, District of Columbia, District of Columbia","2578","178","1693","168","753","188","0","12","44","28","0","12","6","9","82","45","6","10","76","45"
"1400000US11001007806","Census Tract 78.06, District of Columbia, District of Columbia","2447","341","40","30","2370","338","33","47","0","12","0","12","4","7","0","12","0","12","0","12"
"1400000US11001007901","Census Tract 79.01, District of Columbia, District of Columbia","4193","529","1053","139","2896","542","26","38","23","22","0","12","116","108","79","63","0","12","79","63"
"1400000US11001008002","Census Tract 80.02, District of Columbia, District of Columbia","3380","284","2379","280","845","152","0","12","69","42","0","12","28","40","59","44","12","20","47","40"
"1400000US11001008702","Census Tract 87.02, District of Columbia, District of Columbia","3074","320","1110","222","1635","275","0","12","152","139","0","12","70","81","107","51","14","20","93","47"
"1400000US11001009601","Census Tract 96.01, District of Columbia, District of Columbia","2511","316","71","50","2421","330","0","12","0","12","0","12","13","18","6","9","0","12","6","9"
