"GEO_ID","NAME","B25077_001E","B25077_001M"
"1400000US06037980022","Census Tract 9800.22, Los Angeles County, California","-","**"
"1400000US06037980023","Census Tract 9800.23, Los Angeles County, California","-","**"
"1400000US06037980025","Census Tract 9800.25, Los Angeles County, California","-","**"
"1400000US06037980026","Census Tract 9800.26, Los Angeles County, California","-","**"
"1400000US06037980028","Census Tract 9800.28, Los Angeles County, California","-","**"
"1400000US06037980030","Census Tract 9800.30, Los Angeles County, California","-","**"
"1400000US06037980031","Census Tract 9800.31, Los Angeles County, California","-","**"
"1400000US06037980033","Census Tract 9800.33, Los Angeles County, California","-","**"
"1400000US06037990100","Census Tract 9901, Los Angeles County, California","-","**"
"1400000US06037990200","Census Tract 9902, Los Angeles County, California","-","**"
"1400000US06037990300","Census Tract 9903, Los Angeles County, California","-","**"
"1400000US06037206010","Census Tract 2060.10, Los Angeles County, California","494200","123471"
"1400000US06037127520","Census Tract 1275.20, Los Angeles County, California","259800","27055"
"1400000US06037208620","Census Tract 2086.20, Los Angeles County, California","605300","120023"
"1400000US06037481201","Census Tract 4812.01, Los Angeles County, California","656800","35360"
"1400000US06037216401","Census Tract 2164.01, Los Angeles County, California","705200","112111"
"1400000US06037920109","Census Tract 9201.09, Los Angeles County, California","569700","25821"
"1400000US06037310702","Census Tract 3107.02, Los Angeles County, California","473400","40012"
"1400000US06037300600","Census Tract 3006, Los Angeles County, California","677600","63951"
"1400000US06037407301","Census Tract 4073.01, Los Angeles County, California","413400","29625"
"1400000US06037702600","Census Tract 7026, Los Angeles County, California","960300","93218"
"1400000US06037651101","Census Tract 6511.01, Los Angeles County, California","864900","15189"
"1400000US06037502500","Census Tract 5025, Los Angeles County, California","378200","22624"
"1400000US06037920116","Census Tract 9201.16, Los Angeles County, California","483600","27766"
"1400000US06037532900","Census Tract 5329, Los Angeles County, California","340800","56121"
"1400000US06037219800","Census Tract 2198, Los Angeles County, California","425000","78000"
"1400000US06037189600","Census Tract 1896, Los Angeles County, California","1075600","163663"
"1400000US06037117530","Census Tract 1175.30, Los Angeles County, California","300600","42697"
"1400000US06037232600","Census Tract 2326, Los Angeles County, California","325000","29335"
"1400000US06037400900","Census Tract 4009, Los Angeles County, California","545400","37793"
"1400000US06037602402","Census Tract 6024.02, Los Angeles County, California","484500","24314"
"1400000US06037920037","Census Tract 9200.37, Los Angeles County, California","271100","16091"
"1400000US06037301501","Census Tract 3015.01, Los Angeles County, California","709500","59690"
"1400000US06037127603","Census Tract 1276.03, Los Angeles County, California","462900","35876"
"1400000US06037400604","Census Tract 4006.04, Los Angeles County, California","574200","54546"
"1400000US06037139801","Census Tract 1398.01, Los Angeles County, California","1173500","42403"
"1400000US06037602002","Census Tract 6020.02, Los Angeles County, California","390000","39157"
"1400000US06037651221","Census Tract 6512.21, Los Angeles County, California","877600","53770"
"1400000US06037572301","Census Tract 5723.01, Los Angeles County, California","366500","29211"
"1400000US06037402706","Census Tract 4027.06, Los Angeles County, California","351300","12551"
"1400000US06037550000","Census Tract 5500, Los Angeles County, California","381800","36290"
"1400000US06037535400","Census Tract 5354, Los Angeles County, California","331200","30546"
"1400000US06037226002","Census Tract 2260.02, Los Angeles County, California","453900","58725"
"1400000US06037267700","Census Tract 2677, Los Angeles County, California","855300","46838"
"1400000US06037530003","Census Tract 5300.03, Los Angeles County, California","603300","14649"
"1400000US06037131400","Census Tract 1314, Los Angeles County, California","419600","25474"
"1400000US06037123420","Census Tract 1234.20, Los Angeles County, California","505500","54267"
"1400000US06037400204","Census Tract 4002.04, Los Angeles County, California","721400","32610"
"1400000US06037404402","Census Tract 4044.02, Los Angeles County, California","376600","23657"
"1400000US06037212702","Census Tract 2127.02, Los Angeles County, California","993100","145780"
"1400000US06037134424","Census Tract 1344.24, Los Angeles County, California","911100","24346"
"1400000US06037530901","Census Tract 5309.01, Los Angeles County, California","363000","26560"
"1400000US06037910807","Census Tract 9108.07, Los Angeles County, California","455300","19836"
"1400000US06037541200","Census Tract 5412, Los Angeles County, California","335000","15492"
"1400000US06037553801","Census Tract 5538.01, Los Angeles County, California","336200","52852"
"1400000US06037404503","Census Tract 4045.03, Los Angeles County, California","366200","25935"
"1400000US06037297202","Census Tract 2972.02, Los Angeles County, California","509700","57333"
"1400000US06037910207","Census Tract 9102.07, Los Angeles County, California","318100","13792"
"1400000US06037402406","Census Tract 4024.06, Los Angeles County, California","340100","27410"
"1400000US06037910605","Census Tract 9106.05, Los Angeles County, California","191300","19239"
"1400000US06037481402","Census Tract 4814.02, Los Angeles County, California","611000","25833"
"1400000US06037670001","Census Tract 6700.01, Los Angeles County, California","596200","27837"
"1400000US06037480903","Census Tract 4809.03, Los Angeles County, California","576100","26779"
"1400000US06037501803","Census Tract 5018.03, Los Angeles County, California","468800","87128"
"1400000US06037430102","Census Tract 4301.02, Los Angeles County, California","391800","26582"
"1400000US06037501400","Census Tract 5014, Los Angeles County, California","395300","49530"
"1400000US06037135111","Census Tract 1351.11, Los Angeles County, California","539900","45000"
"1400000US06037502302","Census Tract 5023.02, Los Angeles County, California","393300","38313"
"1400000US06037301702","Census Tract 3017.02, Los Angeles County, California","581000","55895"
"1400000US06037183220","Census Tract 1832.20, Los Angeles County, California","572600","50171"
"1400000US06037111302","Census Tract 1113.02, Los Angeles County, California","605900","22237"
"1400000US06037231100","Census Tract 2311, Los Angeles County, California","336800","40040"
"1400000US06037139502","Census Tract 1395.02, Los Angeles County, California","782700","77432"
"1400000US06037239602","Census Tract 2396.02, Los Angeles County, California","323200","43603"
"1400000US06037910805","Census Tract 9108.05, Los Angeles County, California","515700","39249"
"1400000US06037910201","Census Tract 9102.01, Los Angeles County, California","245400","30240"
"1400000US06037204600","Census Tract 2046, Los Angeles County, California","365200","38992"
"1400000US06037570301","Census Tract 5703.01, Los Angeles County, California","381000","51440"
"1400000US06037134520","Census Tract 1345.20, Los Angeles County, California","340000","45475"
"1400000US06037404901","Census Tract 4049.01, Los Angeles County, California","357000","16243"
"1400000US06037920031","Census Tract 9200.31, Los Angeles County, California","290100","17740"
"1400000US06037462001","Census Tract 4620.01, Los Angeles County, California","528300","95401"
"1400000US06037124000","Census Tract 1240, Los Angeles County, California","890500","58895"
"1400000US06037401002","Census Tract 4010.02, Los Angeles County, California","610900","26731"
"1400000US06037532101","Census Tract 5321.01, Los Angeles County, California","429000","41407"
"1400000US06037650502","Census Tract 6505.02, Los Angeles County, California","805500","25186"
