id,Geographic Area Name,Estimate!!VALUE!!Owner-occupied units!!Median (dollars),Margin of Error!!VALUE!!Owner-occupied units!!Median (dollars)
1400000US17031191200,"Census Tract 1912, Cook County, Illinois",233300,29569
1400000US17031191301,"Census Tract 1913.01, Cook County, Illinois",227100,14638
1400000US17031191302,"Census Tract 1913.02, Cook County, Illinois",226500,17159
1400000US17031200100,"Census Tract 2001, Cook County, Illinois",245600,19925
1400000US17031200200,"Census Tract 2002, Cook County, Illinois",281400,14574
1400000US17031200300,"Census Tract 2003, Cook County, Illinois",220700,11475
1400000US17031200401,"Census Tract 2004.01, Cook County, Illinois",239500,19314
1400000US17031200402,"Census Tract 2004.02, Cook County, Illinois",270700,41511
1400000US17031210100,"Census Tract 2101, Cook County, Illinois",336800,36315
1400000US17031210400,"Census Tract 2104, Cook County, Illinois",268900,15556
1400000US17031210501,"Census Tract 2105.01, Cook County, Illinois",287500,52112
1400000US17031210502,"Census Tract 2105.02, Cook County, Illinois",266300,31568
1400000US17031210601,"Census Tract 2106.01, Cook County, Illinois",334200,53269
1400000US17031210602,"Census Tract 2106.02, Cook County, Illinois",319000,38376
1400000US17031210700,"Census Tract 2107, Cook County, Illinois",354700,47482
1400000US17031210800,"Census Tract 2108, Cook County, Illinois",400000,62866
1400000US17031210900,"Census Tract 2109, Cook County, Illinois",354000,29358
1400000US17031220300,"Census Tract 2203, Cook County, Illinois",376100,35041
1400000US17031220400,"Census Tract 2204, Cook County, Illinois",388100,75297
1400000US17031220500,"Census Tract 2205, Cook County, Illinois",334100,22548
1400000US17031220601,"Census Tract 2206.01, Cook County, Illinois",370400,101282
1400000US17031220602,"Census Tract 2206.02, Cook County, Illinois",389400,94423
1400000US17031220701,"Census Tract 2207.01, Cook County, Illinois",306300,74959
1400000US17031220702,"Census Tract 2207.02, Cook County, Illinois",402300,57378
1400000US17031220901,"Census Tract 2209.01, Cook County, Illinois",326100,32729
1400000US17031220902,"Census Tract 2209.02, Cook County, Illinois",298100,61272
1400000US17031221000,"Census Tract 2210, Cook County, Illinois",288000,15463
1400000US17031221100,"Census Tract 2211, Cook County, Illinois",343200,35275
1400000US17031221200,"Census Tract 2212, Cook County, Illinois",373900,30727
1400000US17031221300,"Census Tract 2213, Cook County, Illinois",459400,37575
1400000US17031221400,"Census Tract 2214, Cook County, Illinois",361200,47687
1400000US17031221500,"Census Tract 2215, Cook County, Illinois",473900,62352
1400000US17031221600,"Census Tract 2216, Cook County, Illinois",625000,89103
1400000US17031222200,"Census Tract 2222, Cook County, Illinois",583300,62404
1400000US17031222500,"Census Tract 2225, Cook County, Illinois",347900,45057
1400000US17031222600,"Census Tract 2226, Cook County, Illinois",385200,40531
1400000US17031222700,"Census Tract 2227, Cook County, Illinois",273800,23522
1400000US17031222800,"Census Tract 2228, Cook County, Illinois",241700,39769
1400000US17031222900,"Census Tract 2229, Cook County, Illinois",283300,39903
1400000US17031230100,"Census Tract 2301, Cook County, Illinois",370900,33409
1400000US17031230200,"Census Tract 2302, Cook County, Illinois",251800,32325
1400000US17031230300,"Census Tract 2303, Cook County, Illinois",265900,41633
1400000US17031230400,"Census Tract 2304, Cook County, Illinois",236600,48869
1400000US17031230500,"Census Tract 2305, Cook County, Illinois",153300,42175
1400000US17031230600,"Census Tract 2306, Cook County, Illinois",164000,16211
1400000US17031230700,"Census Tract 2307, Cook County, Illinois",159100,13979
