id,Geographic Area Name,Estimate!!VALUE!!Owner-occupied units!!Median (dollars),Margin of Error!!VALUE!!Owner-occupied units!!Median (dollars)
1400000US17031828000,"Census Tract 8280, Cook County, Illinois",128200,9478
1400000US17031828100,"Census Tract 8281, Cook County, Illinois",125000,11017
1400000US17031828201,"Census Tract 8282.01, Cook County, Illinois",129600,11548
1400000US17031828202,"Census Tract 8282.02, Cook County, Illinois",152000,11275
1400000US17031828300,"Census Tract 8283, Cook County, Illinois",102400,7181
1400000US17031828401,"Census Tract 8284.01, Cook County, Illinois",158000,11309
1400000US17031828402,"Census Tract 8284.02, Cook County, Illinois",118900,16746
1400000US17031828503,"Census Tract 8285.03, Cook County, Illinois",59400,25965
1400000US17031828504,"Census Tract 8285.04, Cook County, Illinois",81400,6115
1400000US17031828505,"Census Tract 8285.05, Cook County, Illinois",151200,10152
1400000US17031828506,"Census Tract 8285.06, Cook County, Illinois",131100,15316
1400000US17031828601,"Census Tract 8286.01, Cook County, Illinois",163600,5368
1400000US17031828602,"Census Tract 8286.02, Cook County, Illinois",170100,10386
1400000US17031828701,"Census Tract 8287.01, Cook County, Illinois",143600,12171
1400000US17031828702,"Census Tract 8287.02, Cook County, Illinois",127100,11085
1400000US17031828801,"Census Tract 8288.01, Cook County, Illinois",146100,8044
1400000US17031828802,"Census Tract 8288.02, Cook County, Illinois",118000,6961
1400000US17031828900,"Census Tract 8289, Cook County, Illinois",113700,8664
1400000US17031829000,"Census Tract 8290, Cook County, Illinois",53700,8367
1400000US17031829100,"Census Tract 8291, Cook County, Illinois",88400,12077
1400000US17031829200,"Census Tract 8292, Cook County, Illinois",86300,5401
1400000US17031829301,"Census Tract 8293.01, Cook County, Illinois",119000,13358
1400000US17031829302,"Census Tract 8293.02, Cook County, Illinois",76400,16428
1400000US17031829401,"Census Tract 8294.01, Cook County, Illinois",74600,4973
1400000US17031829402,"Census Tract 8294.02, Cook County, Illinois",19400,2672
1400000US17031829500,"Census Tract 8295, Cook County, Illinois",97000,4753
1400000US17031829600,"Census Tract 8296, Cook County, Illinois",96500,9723
1400000US17031829700,"Census Tract 8297, Cook County, Illinois",115100,33081
1400000US17031829800,"Census Tract 8298, Cook County, Illinois",203400,17772
1400000US17031829901,"Census Tract 8299.01, Cook County, Illinois",152600,8011
1400000US17031829902,"Census Tract 8299.02, Cook County, Illinois",144300,18906
1400000US17031830001,"Census Tract 8300.01, Cook County, Illinois",32000,9846
1400000US17031830003,"Census Tract 8300.03, Cook County, Illinois",175000,11821
1400000US17031830004,"Census Tract 8300.04, Cook County, Illinois",198100,14734
1400000US17031830005,"Census Tract 8300.05, Cook County, Illinois",224300,13871
1400000US17031830006,"Census Tract 8300.06, Cook County, Illinois",133800,12379
1400000US17031830007,"Census Tract 8300.07, Cook County, Illinois",122200,8582
1400000US17031830008,"Census Tract 8300.08, Cook County, Illinois",157000,18110
1400000US17031830100,"Census Tract 8301, Cook County, Illinois",95400,5224
1400000US17031830201,"Census Tract 8302.01, Cook County, Illinois",151900,36996
1400000US17031830202,"Census Tract 8302.02, Cook County, Illinois",100900,11766
1400000US17031830300,"Census Tract 8303, Cook County, Illinois",24900,9882
1400000US17031830400,"Census Tract 8304, Cook County, Illinois",74900,5441
1400000US17031830500,"Census Tract 8305, Cook County, Illinois",134400,27008
1400000US17031830600,"Census Tract 8306, Cook County, Illinois",229500,27973
1400000US17031830700,"Census Tract 8307, Cook County, Illinois",262800,13704
1400000US17031830800,"Census Tract 8308, Cook County, Illinois",351700,43056
1400000US17031830900,"Census Tract 8309, Cook County, Illinois",375900,16143
1400000US17031831000,"Census Tract 8310, Cook County, Illinois",587100,72720
1400000US17031831100,"Census Tract 8311, Cook County, Illinois",332600,34288
1400000US17031831200,"Census Tract 8312, Cook County, Illinois",186900,42052
1400000US17031831300,"Census Tract 8313, Cook County, Illinois",111100,10886
1400000US17031831400,"Census Tract 8314, Cook County, Illinois",169700,29727
1400000US17031831500,"Census Tract 8315, Cook County, Illinois",208200,28893
1400000US17031831600,"Census Tract 8316, Cook County, Illinois",256700,35031
1400000US17031831700,"Census Tract 8317, Cook County, Illinois",250800,48695
1400000US17031831800,"Census Tract 8318, Cook County, Illinois",293500,41133
1400000US17031831900,"Census Tract 8319, Cook County, Illinois",544700,123875
1400000US17031832000,"Census Tract 8320, Cook County, Illinois",498000,51117
1400000US17031832100,"Census Tract 8321, Cook County, Illinois",356100,24016
1400000US17031832200,"Census Tract 8322, Cook County, Illinois",613800,70595
1400000US17031832300,"Census Tract 8323, Cook County, Illinois",513600,128900
1400000US17031832400,"Census Tract 8324, Cook County, Illinois",353200,16943
1400000US17031832500,"Census Tract 8325, Cook County, Illinois",736700,64828
1400000US17031832600,"Census Tract 8326, Cook County, Illinois",650600,46450
1400000US17031832900,"Census Tract 8329, Cook County, Illinois",479300,158848
1400000US17031833000,"Census Tract 8330, Cook County, Illinois",523300,112770
1400000US17031833100,"Census Tract 8331, Cook County, Illinois",407200,34887
1400000US17031833300,"Census Tract 8333, Cook County, Illinois",414200,57065
1400000US17031833900,"Census Tract 8339, Cook County, Illinois",255400,161246
1400000US17031834000,"Census Tract 8340, Cook County, Illinois",207300,151216
1400000US17031834200,"Census Tract 8342, Cook County, Illinois",205100,68144
1400000US17031834300,"Census Tract 8343, Cook County, Illinois",170600,9240
1400000US17031834400,"Census Tract 8344, Cook County, Illinois",210000,23334
1400000US17031834500,"Census Tract 8345, Cook County, Illinois",-,**
1400000US17031834600,"Census Tract 8346, Cook County, Illinois",113800,13259
1400000US17031834700,"Census Tract 8347, Cook County, Illinois",137500,49478
1400000US17031834800,"Census Tract 8348, Cook County, Illinois",115500,20084
1400000US17031834900,"Census Tract 8349, Cook County, Illinois",88400,41996
1400000US17031835000,"Census Tract 8350, Cook County, Illinois",124800,32073
1400000US17031835100,"Census Tract 8351, Cook County, Illinois",120200,8577
1400000US17031835200,"Census Tract 8352, Cook County, Illinois",181000,18149
1400000US17031835500,"Census Tract 8355, Cook County, Illinois",124600,20630
1400000US17031835600,"Census Tract 8356, Cook County, Illinois",70800,60705
1400000US17031835700,"Census Tract 8357, Cook County, Illinois",-,**
1400000US17031835800,"Census Tract 8358, Cook County, Illinois",210300,83178
1400000US17031835900,"Census Tract 8359, Cook County, Illinois",204000,67085
1400000US17031836000,"Census Tract 8360, Cook County, Illinois",251800,55782
1400000US17031836100,"Census Tract 8361, Cook County, Illinois",225000,105590
1400000US17031836200,"Census Tract 8362, Cook County, Illinois",252600,50231
1400000US17031836300,"Census Tract 8363, Cook County, Illinois",249100,75215
1400000US17031836400,"Census Tract 8364, Cook County, Illinois",304300,45607
1400000US17031836500,"Census Tract 8365, Cook County, Illinois",-,**
1400000US17031836600,"Census Tract 8366, Cook County, Illinois",185900,100825
1400000US17031836700,"Census Tract 8367, Cook County, Illinois",223400,25353
1400000US17031836800,"Census Tract 8368, Cook County, Illinois",260500,175094
1400000US17031836900,"Census Tract 8369, Cook County, Illinois",214800,48682
1400000US17031837000,"Census Tract 8370, Cook County, Illinois",173400,83650
1400000US17031837100,"Census Tract 8371, Cook County, Illinois",198200,50841
1400000US17031837300,"Census Tract 8373, Cook County, Illinois",152700,70342
1400000US17031837400,"Census Tract 8374, Cook County, Illinois",167300,48672
1400000US17031837800,"Census Tract 8378, Cook County, Illinois",383300,241142
1400000US17031838000,"Census Tract 8380, Cook County, Illinois",272500,42319
1400000US17031838100,"Census Tract 8381, Cook County, Illinois",230600,104292
1400000US17031838200,"Census Tract 8382, Cook County, Illinois",342100,120778
1400000US17031838300,"Census Tract 8383, Cook County, Illinois",461100,54606
1400000US17031838600,"Census Tract 8386, Cook County, Illinois",-,**
1400000US17031838700,"Census Tract 8387, Cook County, Illinois",138400,53957
1400000US17031838800,"Census Tract 8388, Cook County, Illinois",138600,20512
1400000US17031839000,"Census Tract 8390, Cook County, Illinois",277500,33129
1400000US17031839100,"Census Tract 8391, Cook County, Illinois",339700,28545
1400000US17031839200,"Census Tract 8392, Cook County, Illinois",143300,62910
1400000US17031839500,"Census Tract 8395, Cook County, Illinois",299200,87992
1400000US17031839600,"Census Tract 8396, Cook County, Illinois",308000,84932
1400000US17031839700,"Census Tract 8397, Cook County, Illinois",284100,28969
1400000US17031839800,"Census Tract 8398, Cook County, Illinois",312700,32282
1400000US17031839900,"Census Tract 8399, Cook County, Illinois",330100,24578
1400000US17031840000,"Census Tract 8400, Cook County, Illinois",342100,32682
1400000US17031840100,"Census Tract 8401, Cook County, Illinois",245300,25976
1400000US17031840200,"Census Tract 8402, Cook County, Illinois",295100,26090
1400000US17031840300,"Census Tract 8403, Cook County, Illinois",216100,9700
1400000US17031840400,"Census Tract 8404, Cook County, Illinois",245200,28964
1400000US17031840700,"Census Tract 8407, Cook County, Illinois",197300,31368
1400000US17031840800,"Census Tract 8408, Cook County, Illinois",155400,18772
1400000US17031841000,"Census Tract 8410, Cook County, Illinois",317300,28830
1400000US17031841100,"Census Tract 8411, Cook County, Illinois",284200,32758
1400000US17031841200,"Census Tract 8412, Cook County, Illinois",183600,20293
1400000US17031841300,"Census Tract 8413, Cook County, Illinois",215600,24928
1400000US17031841400,"Census Tract 8414, Cook County, Illinois",160400,53879
1400000US17031841500,"Census Tract 8415, Cook County, Illinois",154300,31900
1400000US17031841600,"Census Tract 8416, Cook County, Illinois",114100,18527
1400000US17031841700,"Census Tract 8417, Cook County, Illinois",153900,104743
1400000US17031841800,"Census Tract 8418, Cook County, Illinois",132100,19408
1400000US17031841900,"Census Tract 8419, Cook County, Illinois",342400,19818
1400000US17031842000,"Census Tract 8420, Cook County, Illinois",271300,37216
1400000US17031842100,"Census Tract 8421, Cook County, Illinois",148500,27171
1400000US17031842200,"Census Tract 8422, Cook County, Illinois",403500,39910
1400000US17031842300,"Census Tract 8423, Cook County, Illinois",575000,41922
1400000US17031842400,"Census Tract 8424, Cook County, Illinois",139600,21647
1400000US17031842500,"Census Tract 8425, Cook County, Illinois",84100,23135
1400000US17031842600,"Census Tract 8426, Cook County, Illinois",215000,36441
1400000US17031842800,"Census Tract 8428, Cook County, Illinois",183000,30493
1400000US17031842900,"Census Tract 8429, Cook County, Illinois",228300,60674
1400000US17031843000,"Census Tract 8430, Cook County, Illinois",172500,100255
1400000US17031843100,"Census Tract 8431, Cook County, Illinois",197900,86322
1400000US17031843200,"Census Tract 8432, Cook County, Illinois",261700,32367
1400000US17031843300,"Census Tract 8433, Cook County, Illinois",172100,62517
1400000US17031843400,"Census Tract 8434, Cook County, Illinois",109900,52315
1400000US17031843500,"Census Tract 8435, Cook County, Illinois",143600,35072
1400000US17031843600,"Census Tract 8436, Cook County, Illinois",264700,38169
1400000US17031843700,"Census Tract 8437, Cook County, Illinois",487100,45935
1400000US17031843800,"Census Tract 8438, Cook County, Illinois",171400,38214
1400000US17031843900,"Census Tract 8439, Cook County, Illinois",89800,15981
1400000US17031980000,"Census Tract 9800, Cook County, Illinois",-,**
1400000US17031980100,"Census Tract 9801, Cook County, Illinois",-,**
1400000US17031990000,"Census Tract 9900, Cook County, Illinois",-,**
