GEO_ID,NAME,S1501_C02_015E,DP03_0009PE,S1701_C03_001E
id,Geographic Area Name,talent index,Unemployment,poverty
1400000US17031040600,"Census Tract 406, Cook County, Illinois",79.3,5.2,3.8
1400000US17031040700,"Census Tract 407, Cook County, Illinois",68.6,2.1,6.9
1400000US17031040800,"Census Tract 408, Cook County, Illinois",63,2.4,5.9
1400000US17031040900,"Census Tract 409, Cook County, Illinois",80.7,4.6,8.4
1400000US17031050100,"Census Tract 501, Cook County, Illinois",74.2,3.2,4.9
1400000US17031050200,"Census Tract 502, Cook County, Illinois",65.7,4.4,3.3
1400000US17031050300,"Census Tract 503, Cook County, Illinois",62,6.5,9.7
1400000US17031050500,"Census Tract 505, Cook County, Illinois",80.2,2.8,3
1400000US17031050600,"Census Tract 506, Cook County, Illinois",82.2,3.9,8.1
1400000US17031050700,"Census Tract 507, Cook County, Illinois",81.4,1.3,3.5
1400000US17031050800,"Census Tract 508, Cook County, Illinois",78.8,6.2,4.4
1400000US17031050900,"Census Tract 509, Cook County, Illinois",66.8,3.9,4.8
1400000US17031051000,"Census Tract 510, Cook County, Illinois",71.5,1,5.4
1400000US17031051100,"Census Tract 511, Cook County, Illinois",79.2,0.5,3.3
1400000US17031051200,"Census Tract 512, Cook County, Illinois",84.1,2.1,4.6
1400000US17031051300,"Census Tract 513, Cook County, Illinois",82.8,1.3,2.4
1400000US17031051400,"Census Tract 514, Cook County, Illinois",73.4,3.3,7.9
1400000US17031060100,"Census Tract 601, Cook County, Illinois",76.7,1.4,6.4
1400000US17031060200,"Census Tract 602, Cook County, Illinois",74.2,2.9,15.3
1400000US17031060300,"Census Tract 603, Cook County, Illinois",79.7,1.7,1.1
1400000US17031060400,"Census Tract 604, Cook County, Illinois",86.1,3.9,10.7
1400000US17031060500,"Census Tract 605, Cook County, Illinois",50,3.2,22.6
1400000US17031060800,"Census Tract 608, Cook County, Illinois",80.9,4.6,4.9
1400000US17031060900,"Census Tract 609, Cook County, Illinois",69.6,1.9,8.9
1400000US17031061000,"Census Tract 610, Cook County, Illinois",86.7,2.6,14.4
1400000US17031061100,"Census Tract 611, Cook County, Illinois",87.6,0.5,6.7
1400000US17031061200,"Census Tract 612, Cook County, Illinois",87,1,8.2
1400000US17031061500,"Census Tract 615, Cook County, Illinois",79.8,2.7,6.6
1400000US17031061800,"Census Tract 618, Cook County, Illinois",78.2,4.6,12.5
1400000US17031061901,"Census Tract 619.01, Cook County, Illinois",84.7,3.3,10.2
1400000US17031061902,"Census Tract 619.02, Cook County, Illinois",72.7,7.8,11.9
1400000US17031062000,"Census Tract 620, Cook County, Illinois",85.7,2.2,5.8
1400000US17031062100,"Census Tract 621, Cook County, Illinois",80.4,4.5,14.8
1400000US17031062200,"Census Tract 622, Cook County, Illinois",86.9,2.3,6.7
1400000US17031062300,"Census Tract 623, Cook County, Illinois",91.8,2.6,4.2
1400000US17031062400,"Census Tract 624, Cook County, Illinois",83.9,3.3,3.7
1400000US17031062500,"Census Tract 625, Cook County, Illinois",87.7,3,13
1400000US17031062600,"Census Tract 626, Cook County, Illinois",88.6,4.6,1.6
1400000US17031062700,"Census Tract 627, Cook County, Illinois",81.6,1.2,4.3
1400000US17031062800,"Census Tract 628, Cook County, Illinois",86.4,2,5.1
1400000US17031062900,"Census Tract 629, Cook County, Illinois",85.4,2.2,7.4
1400000US17031063000,"Census Tract 630, Cook County, Illinois",85.8,2.4,8.1
1400000US17031063100,"Census Tract 631, Cook County, Illinois",82.9,3.8,8
1400000US17031063200,"Census Tract 632, Cook County, Illinois",79.3,4.5,8.4
1400000US17031063301,"Census Tract 633.01, Cook County, Illinois",74.7,0.6,15.3
